bill_id,version_type,url
HJRES76-115,Engrossed in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres76eh/xml/BILLS-115hjres76eh.xml
HJRES76-115,Reported in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres76rh/xml/BILLS-115hjres76rh.xml
HJRES76-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres76ih/xml/BILLS-115hjres76ih.xml
HJRES77-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres77ih/xml/BILLS-115hjres77ih.xml
HJRES78-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres78ih/xml/BILLS-115hjres78ih.xml
HJRES79-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres79ih/xml/BILLS-115hjres79ih.xml
HJRES8-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres8ih/xml/BILLS-115hjres8ih.xml
HJRES80-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres80ih/xml/BILLS-115hjres80ih.xml
HJRES81-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres81ih/xml/BILLS-115hjres81ih.xml
HJRES82-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres82ih/xml/BILLS-115hjres82ih.xml
HJRES83-115,Enrolled Bill,https://www.govinfo.gov/content/pkg/BILLS-115hjres83enr/xml/BILLS-115hjres83enr.xml
HJRES83-115,Received in Senate,https://www.govinfo.gov/content/pkg/BILLS-115hjres83rds/xml/BILLS-115hjres83rds.xml
HJRES83-115,Engrossed in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres83eh/xml/BILLS-115hjres83eh.xml
HJRES83-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres83ih/xml/BILLS-115hjres83ih.xml
HJRES84-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres84ih/xml/BILLS-115hjres84ih.xml
HJRES85-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres85ih/xml/BILLS-115hjres85ih.xml
HJRES86-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres86ih/xml/BILLS-115hjres86ih.xml
HJRES87-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres87ih/xml/BILLS-115hjres87ih.xml
