bioguide_id,crp_id,cand_name,cycle,state,party,chamber,first_elected,next_election,total,spent,cash_on_hand,debt
B001271,N00031934,"Benishek, Dan",2012,MI,R,H,2010,2012,2221760.19,2128929.55,88651.76,128000
A000367,N00031938,"Amash, Justin",2012,MI,R,H,2010,2012,1313802.88,1193610.96,77843.52,100000
P000601,N00031958,"Palazzo, Steven",2012,MS,R,H,2010,2012,926893.14,710074.02,269796.17,4654.62
R000594,N00031988,"Runyan, Jon",2012,NJ,R,H,2010,2012,2080014.07,1999879.25,85515.36,250000
G000564,N00031998,"Gibson, Chris",2012,NY,R,H,2010,2012,2177704.7,2153688.97,15015.92,1350
C001084,N00032019,"Cicilline, David",2012,RI,D,H,2010,2012,2394676.73,2415518.02,16720.92,70000
N000184,N00032022,"Noem, Kristi",2012,SD,R,H,2010,2012,2811273.74,2688179.83,133794.94,0
G000568,N00032029,"Griffith, Morgan",2012,VA,R,H,2010,2012,1399362.81,1320305.58,124807.81,0
J000292,N00032088,"Johnson, Bill",2012,OH,R,H,2010,2012,2026753.52,2007027.37,22494.03,0
H001071,N00032243,"Hice, Jody B",2012,,R, ,,2012,5,456.25,0,65100
N000185,N00032441,"Nugent, Richard",2012,FL,R,H,2010,2012,600550.58,549894,51312.17,0
J000293,N00032546,"Johnson, Ron",2012,WI,R,S,2010,2016,16136291,16135870,1529,608050
M001183,N00032838,"Manchin, Joe",2012,WV,D,S,2010,2012,9467003,7678708,1788297,0
H001068,N00033030,"Huffman, Jared",2012,,D, ,,2012,1449511.65,1262439.87,187071.78,6748.54
D000618,N00033054,"Daines, Steven",2012,,R, ,,2012,1830490.65,2021595.6,15407.18,71281.39
C001098,N00033085,"Cruz, Ted",2012,,R, ,,2012,14511279,14031864,479413,904178
M001191,N00033091,"Murphy, Patrick",2012,,D, ,,2012,4752053.86,4480428.11,271625.75,0
K000384,N00033177,"Kaine, Tim",2012,,D, ,,2012,18045722,17918247,127474,0
E000293,N00033217,"Esty, Elizabeth",2012,,D, ,,2012,3269049.65,3228059.7,40989.95,293500
K000391,N00033240,"Krishnamoorthi, Raja",2012,,D, ,,2012,1282894.61,1282805.63,88.98,0
L000579,N00033274,"Lowenthal, Alan",2012,,D, ,,2012,1210250.82,1171130.95,39710.71,1457.12
G000571,N00033281,"Gabbard, Tulsi",2012,,D, ,,2012,1764589.91,1452206.61,312383.3,44000
C001091,N00033316,"Castro, Joaquin",2012,,D, ,,2012,1494022.55,1346968.05,147054.23,35000
C001095,N00033363,"Cotton, Thomas",2012,,R, ,,2012,2213217.51,2094866.54,118350.97,0
C001097,N00033373,"Cardenas, Tony",2012,,D, ,,2012,844097.25,709796.98,134300.27,51683.29
B001286,N00033390,"Bustos, Cheri",2012,,D, ,,2012,2212530.1,2187282.79,25247.31,11500
K000380,N00033395,"Kildee, Dan",2012,,D, ,,2012,721597.71,579338.7,142259.01,0
H001065,N00033399,"Holding, George",2012,,R, ,,2012,1685833.09,1673724.26,12108.83,364969.57
M001190,N00033410,"Mullin, Markwayne",2012,,R, ,,2012,1704560.94,1681458.45,23102.49,307627.81
F000463,N00033443,"Fischer, Deb",2012,,R, ,,2012,5253975,5146461,107514,251392
D000627,N00033449,"Demings, Val",2012,,D, ,,2012,1938873.77,1932580.44,6293.33,0
B001278,N00033474,"Bonamici, Suzanne",2012,OR,D,H,2012,2012,2488255.98,2280581.79,207674.19,200000
B001284,N00033495,"Brooks, Susan",2012,,R, ,,2012,1440815.25,1265518.73,175121.52,0
N000187,N00033509,"McLeod, Gloria",2012,,D, ,,2012,302549.74,294428.44,8118.65,14017.16
R000599,N00033510,"Ruiz, Raul",2012,,D, ,,2012,1976758,1925464.26,51293.74,64314.07
C001093,N00033518,"Collins, Doug",2012,,R, ,,2012,765886.95,659338.52,106548.43,0
R000603,N00033527,"Rouzer, David",2012,,R, ,,2012,1484066.25,1471357.34,12708.91,2000
K000390,N00033530,"Kihuen, Ruben",2012,,D, ,,2012,190408,183664.08,6743.92,0
B001283,N00033532,"Bridenstine, James",2012,,R, ,,2012,781983.29,767458.97,14790.47,0
O000170,N00033540,"O'Rourke, Beto",2012,,D, ,,2012,685661.09,618525.63,66920.12,0
