bill_id,chamber,term,session,action,roll_number,url
HR2879-113,House,113,1,Passage of a Measure,436,http://clerk.house.gov/evs/2013/roll436.xml
HR291-113,House,113,1,Final Passage Under Suspension of the Rules Results,130,http://clerk.house.gov/evs/2013/roll130.xml
HR2922-113,House,113,1,Final Passage Under Suspension of the Rules Results,572,http://clerk.house.gov/evs/2013/roll572.xml
HR2954-113,House,113,2,Passage of a Measure,54,http://clerk.house.gov/evs/2014/roll054.xml
HR2954-113,House,113,2,Motion to Commit/Recommit With Instructions Results,53,http://clerk.house.gov/evs/2014/roll053.xml
HR297-113,House,113,1,Final Passage Under Suspension of the Rules Results,32,http://clerk.house.gov/evs/2013/roll032.xml
HR3-113,House,113,1,Passage of a Measure,179,http://clerk.house.gov/evs/2013/roll179.xml
HR3-113,House,113,1,Motion to Commit/Recommit With Instructions Results,178,http://clerk.house.gov/evs/2013/roll178.xml
HR3008-113,House,113,2,Final Passage Under Suspension of the Rules Results,25,http://clerk.house.gov/evs/2014/roll025.xml
HR301-113,House,113,1,Final Passage Under Suspension of the Rules Results,465,http://clerk.house.gov/evs/2013/roll465.xml
HR3060-113,House,113,2,Final Passage Under Suspension of the Rules Results,136,http://clerk.house.gov/evs/2014/roll136.xml
HR307-113,House,113,1,Vote on House Agreeing to the Senate Action,56,http://clerk.house.gov/evs/2013/roll056.xml
HR307-113,House,113,1,Final Passage Under Suspension of the Rules Results,24,http://clerk.house.gov/evs/2013/roll024.xml
HR3080-113,Senate,113,2,CONFERENCE REPORT AGREED TO,163,http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?&congress=113&session=2&vote=00163
HR3080-113,House,113,2,Placeholder Text for H42510,220,http://clerk.house.gov/evs/2014/roll220.xml
HR3080-113,House,113,1,Preemptive Motion Results,582,http://clerk.house.gov/evs/2013/roll582.xml
HR3080-113,House,113,1,Passage of a Measure,560,http://clerk.house.gov/evs/2013/roll560.xml
HR3092-113,House,113,1,Final Passage Under Suspension of the Rules Results,460,http://clerk.house.gov/evs/2013/roll460.xml
HR3095-113,House,113,1,Final Passage Under Suspension of the Rules Results,486,http://clerk.house.gov/evs/2013/roll486.xml
HR3096-113,House,113,1,Final Passage Under Suspension of the Rules Results,492,http://clerk.house.gov/evs/2013/roll492.xml
